City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
329,langxiang,46.95,128.8833,-20.19,97,4,0.36,CN,1672960177
330,rincon,32.296,-81.2354,11.03,66,0,2.57,US,1673008010
331,glendive,47.1053,-104.7125,-13.21,86,0,2.57,US,1673016268
332,newnan,33.3807,-84.7997,3.13,80,0,0.0,US,1673009020
333,tete,-16.1564,33.5867,30.05,70,75,1.54,MZ,1672975180
334,hami,42.8,93.45,-3.07,43,36,1.8,CN,1672967806
335,kamaishi,39.2667,141.8833,0.91,76,35,2.98,JP,1672955539
336,victoria point,-27.5833,153.3,23.58,77,56,4.47,AU,1672945063
337,batagay,67.6333,134.6333,-41.28,100,100,0.83,RU,1672970978
338,mildura,-34.2,142.15,25.6,41,0,4.95,AU,1672946789
339,popondetta,-8.7537,148.2534,24.42,98,100,1.08,PG,1672948436
340,bathsheba,13.2167,-59.5167,25.34,78,40,11.32,BB,1673000534
341,oxelosund,58.6706,17.1015,-1.79,74,75,8.75,SE,1672990780
342,srandakan,-7.9386,110.2506,26.21,84,100,3.36,ID,1672957644
343,atbasar,51.8,68.3333,-5.06,94,96,4.62,KZ,1672975961
344,urusha,54.05,122.9,-29.56,100,53,0.57,RU,1672963572
345,kuruman,-27.4524,23.4325,25.11,18,0,2.05,ZA,1672976265
346,chumikan,54.7183,135.315,-22.11,89,5,7.48,RU,1672960823
347,lisakovsk,52.5369,62.4936,-10.74,89,93,4.0,KZ,1672977582
348,komsomolskiy,40.4272,71.7189,5.4,75,100,2.06,UZ,1672972581
349,tiarei,-17.5333,-149.3333,27.01,77,36,1.8,PF,1672932510
350,kunya,12.2233,8.5325,19.09,34,85,4.12,NG,1672984095
351,mapiripan,2.8892,-72.1256,22.42,78,86,2.07,CO,1673002515
352,stornoway,58.2093,-6.3865,6.98,84,40,8.75,GB,1672996202
353,nahuala,14.85,-91.3167,10.29,67,10,2.24,GT,1673008339
354,panjakent,39.4952,67.6093,6.68,68,99,2.32,TJ,1672973404
355,zelenoborskiy,66.845,32.3622,-12.32,92,100,3.11,RU,1672993807
356,cidreira,-30.1811,-50.2056,22.01,75,2,4.12,BR,1672993575
357,helong,42.5397,128.9972,-6.27,94,100,1.41,CN,1672959225
358,srostki,52.4189,85.7022,0.82,100,100,4.29,RU,1672971978
359,kaka,37.3482,59.6143,13.67,42,7,4.93,TM,1672974965
360,angoche,-16.2325,39.9086,32.5,56,66,4.2,MZ,1672973654
361,awbari,26.5921,12.7805,15.12,31,99,4.59,LY,1672984691
362,grand gaube,-20.0064,57.6608,30.22,61,99,4.47,MU,1672968965
363,baruun-urt,46.6806,113.2792,-17.76,94,5,3.45,MN,1672963860
364,visnes,59.3556,5.2242,5.12,81,75,10.29,NO,1672993961
365,yar-sale,66.8333,70.8333,-32.81,100,100,3.97,RU,1672984573
366,jalu,29.0331,21.5482,17.11,60,100,2.65,LY,1672982898
367,nuuk,64.1835,-51.7216,-0.66,43,75,3.09,GL,1673010784
368,lashio,22.9333,97.75,23.32,45,0,1.05,MM,1672963853
369,elektrenai,54.7667,24.6333,-10.83,72,9,3.3,LT,1672987394
370,lazaro cardenas,17.9583,-102.2,22.27,88,2,1.56,MX,1673011286
371,price,39.5994,-110.8107,-1.41,93,100,0.0,US,1673016242
372,aromashevo,56.8602,68.6375,-16.63,93,91,2.25,RU,1672977626
373,batken,39.8333,71.0,-0.25,74,100,0.4,KG,1672972649
374,boguchany,58.3814,97.4531,-8.97,96,99,2.12,RU,1672971371
375,okakarara,-20.5833,17.4333,29.9,25,52,3.06,NA,1672978557
376,belmonte,-15.8631,-38.8828,25.4,85,100,3.13,BR,1672992613
377,angoram,-4.0625,144.0661,24.39,97,100,0.47,PG,1672949919
378,ghanzi,-21.5667,21.7833,29.28,30,18,3.96,BW,1672977397
379,leningradskiy,69.3833,178.4167,-28.52,95,100,4.0,RU,0
380,kigoma,-4.8769,29.6267,28.33,69,20,2.57,TZ,1672977311
381,shache,38.4167,77.2406,3.73,28,100,0.45,CN,1672970910
382,harbour breton,47.4833,-55.7983,-3.57,50,100,2.64,CA,1673004618
383,santa marta,11.2408,-74.199,24.12,78,1,4.05,CO,1673003854
384,ranau,5.9538,116.6641,22.96,95,99,0.06,MY,1672957499
385,tecoanapa,16.5167,-98.75,22.97,86,0,2.02,MX,1673010302
386,coquimbo,-29.9533,-71.3436,15.85,82,0,1.03,CL,1672998683
387,nakamura,32.9833,132.9333,5.22,75,52,1.77,JP,1672956704
388,kuryk,43.2,51.65,8.97,75,61,11.52,KZ,1672977916
